lat,lon,distance_m,fspl_db,snr_db,class
36.71054883,-122.28569407,80209.47,126.10,23.90,good
36.71054883,-122.26300919,79778.97,126.05,23.95,good
36.71054883,-122.24032430,79397.17,126.01,23.99,good
36.71054883,-122.21763941,79064.79,125.97,24.03,good
36.71054883,-122.19495453,78782.45,125.94,24.06,good
36.71054883,-122.17226964,78550.69,125.92,24.08,good
36.71054883,-122.14958476,78369.96,125.90,24.10,good
36.71054883,-122.12689987,78240.61,125.88,24.12,good
36.71054883,-122.10421498,78162.90,125.87,24.13,good
36.71054883,-122.08153010,78136.98,125.87,24.13,good
36.71054883,-122.05884521,78162.90,125.87,24.13,good
36.71054883,-122.03616033,78240.61,125.88,24.12,good
36.71054883,-122.01347544,78369.96,125.90,24.10,good
36.71054883,-121.99079055,78550.69,125.92,24.08,good
36.71054883,-121.96810567,78782.45,125.94,24.06,good
36.71054883,-121.94542078,79064.79,125.97,24.03,good
36.71054883,-121.92273590,79397.17,126.01,23.99,good
36.71054883,-121.90005101,79778.97,126.05,23.95,good
36.71054883,-121.87736612,80209.47,126.10,23.90,good
36.71054883,-121.85468124,80687.91,126.15,23.85,good
36.71054883,-121.83199635,81213.42,126.21,23.79,good
36.71054883,-121.80931147,81785.11,126.27,23.73,good
36.71054883,-121.78662658,82402.02,126.33,23.67,good
36.71054883,-121.76394169,83063.13,126.40,23.60,good
36.71054883,-121.74125681,83767.40,126.47,23.53,good
36.71054883,-121.71857192,84513.75,126.55,23.45,good
36.71054883,-121.69588703,85301.08,126.63,23.37,good
36.71054883,-121.67320215,86128.26,126.72,23.28,good
36.71054883,-121.65051726,86994.15,126.80,23.20,good
36.71054883,-121.62783238,87897.62,126.89,23.11,good
36.71054883,-121.60514749,88837.51,126.98,23.02,good
36.71054883,-121.58246260,89812.68,127.08,22.92,good
36.71054883,-121.55977772,90821.99,127.18,22.82,good
36.71054883,-121.53709283,91864.33,127.28,22.72,good
36.71054883,-121.51440795,92938.57,127.38,22.62,good
36.71054883,-121.49172306,94043.63,127.48,22.52,good
36.71054883,-121.46903817,95178.43,127.58,22.42,good
36.71054883,-121.44635329,96341.92,127.69,22.31,good
36.71054883,-121.42366840,97533.07,127.80,22.20,good
36.71054883,-121.40098352,98750.88,127.90,22.10,good
36.71054883,-121.37829863,99994.39,128.01,21.99,good
36.72856685,-122.80744645,99719.91,127.99,22.01,good
36.72856685,-122.78476157,98432.09,127.88,22.12,good
36.72856685,-122.76207668,97168.90,127.76,22.24,good
